cluster_id,size
1,1
2,1
3,1
4,7371
5,1
6,2
7,3
11,1
12,1
13,1
14,1
15,5
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
32,1
33,1
34,1
35,1
36,2
38,1
39,2
41,1
42,1
43,1
44,1
45,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
57,2
60,1
61,1
62,1
63,1
64,1
65,1
66,2
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,2
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,2
91,2
93,1
94,2
96,1
97,1
98,2
99,1
100,1
101,1
102,1
103,1
104,2
106,1
107,2
109,1
110,1
111,1
112,1
113,1
114,1
115,2
117,2
119,1
120,3
121,1
122,1
124,2
126,2
128,1
129,1
130,2
132,1
133,1
134,1
135,1
136,2
138,1
139,2
141,3
144,1
145,1
146,2
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,2
157,1
159,1
160,1
161,1
162,1
163,1
164,2
165,4
169,1
170,1
171,2
173,1
174,1
175,3
177,1
180,2
182,1
183,1
184,1
185,1
186,5
188,1
189,2
191,1
192,1
193,2
194,1
195,1
197,2
198,3
202,2
204,1
205,2
208,2
210,1
211,1
212,2
214,1
215,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,5
226,2
228,1
229,3
231,1
232,2
233,2
237,1
238,1
239,1
240,1
241,1
242,3
245,1
246,2
249,1
250,1
251,2
253,1
256,1
257,2
259,1
260,2
262,6
268,1
269,1
270,1
271,1
272,2
273,1
275,2
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,2
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,2
298,1
299,2
300,1
302,2
304,1
305,1
306,2
308,1
309,1
310,1
311,1
312,2
314,2
316,1
317,1
318,2
320,1
321,1
322,1
323,2
324,3
325,1
329,3
331,1
333,1
334,1
335,1
336,2
338,1
339,1
340,1
341,2
343,3
345,3
346,1
347,1
350,1
351,3
354,1
355,9
357,3
358,2
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,4
372,2
377,1
378,1
379,7
380,1
382,1
383,1
384,1
385,1
386,1
387,1
390,1
391,1
392,1
393,3
396,2
398,1
399,1
400,1
401,2
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,6
413,1
414,1
415,1
416,1
418,1
422,2
424,1
425,2
429,1
430,2
431,1
435,1
437,1
439,2
440,1
441,1
443,2
444,1
445,1
446,3
447,2
451,1
452,2
453,2
456,2
457,1
459,1
460,2
461,1
463,1
464,3
465,1
467,1
468,1
470,3
471,1
474,3
477,1
478,2
483,1
485,1
487,2
488,2
491,3
494,3
495,1
497,2
499,1
500,1
501,1
502,1
503,1
504,2
507,1
508,1
509,3
510,1
512,2
513,1
514,2
518,2
520,2
522,3
523,1
524,2
525,3
526,3
534,2
536,2
538,1
539,2
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
555,2
557,1
558,1
559,2
561,1
562,1
563,1
564,2
566,1
567,3
570,3
573,2
574,1
575,1
578,2
580,2
582,2
584,1
585,1
586,4
589,1
591,1
592,1
593,3
594,1
596,3
600,1
601,1
602,1
603,3
604,3
605,1
606,1
611,1
612,2
615,1
616,1
618,1
620,2
622,1
623,1
624,1
625,1
626,2
628,2
630,1
631,2
633,1
634,2
635,3
639,3
641,1
642,2
645,1
646,1
647,2
649,2
651,1
652,2
654,1
655,1
656,1
657,1
658,1
659,2
661,1
662,2
664,2
666,1
667,1
668,1
669,2
671,1
672,2
674,3
676,1
678,2
680,2
681,4
684,2
688,2
689,3
691,1
693,1
695,1
696,1
697,2
698,2
700,1
702,2
703,1
705,1
706,2
708,2
709,2
712,2
714,3
715,2
718,2
720,3
721,1
723,1
724,2
726,1
727,2
729,1
730,2
732,1
733,2
735,2
737,1
738,3
740,2
743,3
744,2
747,1
748,1
749,2
751,1
752,3
755,1
756,2
758,3
760,1
762,1
763,3
765,3
766,2
771,1
772,2
774,3
776,2
778,1
779,4
783,1
784,2
786,2
788,1
789,2
791,1
792,2
794,2
796,2
798,3
800,3
801,1
804,1
805,1
806,1
807,4
810,1
811,2
812,1
813,1
815,3
817,2
820,3
821,1
824,1
825,2
827,1
828,2
829,2
831,3
832,3
836,3
839,2
841,2
843,1
844,3
847,4
848,2
851,3
852,2
856,1
857,3
860,1
861,2
862,3
865,3
869,2
871,1
872,4
874,4
878,3
879,2
882,2
886,3
889,3
892,1
893,2
895,2
898,2
900,1
901,2
902,1
904,1
905,2
907,3
908,1
909,3
914,3
916,3
917,3
923,5
925,3
929,1
930,9
933,3
936,2
938,2
939,2
942,1
943,5
945,1
