experiment,epoch,train_loss,train_acc,test_loss,test_acc
FrozenGlove,0,0.6937,0.5061,0.6942,0.4861
FrozenGlove,10,0.6923,0.5056,0.6933,0.4936
FrozenGlove,20,0.6918,0.5029,0.6926,0.4936
FrozenGlove,30,0.4283,0.8106,0.4437,0.8316
FrozenGlove,40,0.3607,0.8432,0.4033,0.8328
FrozenGlove,50,0.3059,0.8753,0.4364,0.8275
FrozenGlove,60,0.2635,0.9007,0.4747,0.8171
FrozenGlove,70,0.2312,0.9221,0.4978,0.8293
FrozenGlove,80,0.1986,0.9350,0.5681,0.8061
FrozenGlove,90,0.1996,0.9375,0.5345,0.8206
FrozenGlove,100,0.1639,0.9470,0.5937,0.8171
FrozenGlove,110,0.1917,0.9387,0.6830,0.8119
FrozenGlove,120,0.1235,0.9683,0.6889,0.8044
Glove,0,0.6942,0.4889,0.6926,0.5266
Glove,10,0.6921,0.4943,0.6947,0.4838
Glove,20,0.6918,0.4993,0.6964,0.4786
Glove,30,0.6666,0.6069,0.6949,0.5122
Glove,40,0.4507,0.8015,0.4474,0.7946
Glove,50,0.3810,0.8388,0.4187,0.8154
Glove,60,0.3428,0.8567,0.4161,0.8299
Glove,70,0.3088,0.8721,0.4626,0.8264
Glove,80,0.2789,0.8929,0.4405,0.8212
Glove,90,0.2330,0.9242,0.4723,0.8264
Glove,100,0.2089,0.9359,0.4980,0.8229
Glove,110,0.1989,0.9405,0.5183,0.8212
Glove,120,0.1989,0.9373,0.5450,0.8032
Embedding,0,0.6925,0.4993,0.6960,0.5110
Embedding,10,0.6905,0.5025,0.7017,0.5093
Embedding,20,0.6648,0.5480,0.7609,0.5249
Embedding,30,0.3013,0.8889,1.1138,0.5619
Embedding,40,0.1186,0.9697,1.4196,0.5966
Embedding,50,0.0954,0.9751,1.5652,0.6036
Embedding,60,0.0464,0.9909,1.8901,0.6001
Embedding,70,0.0552,0.9860,1.8415,0.6111
Embedding,80,0.0245,0.9955,2.0891,0.5966
Embedding,90,0.0483,0.9869,2.0568,0.5984
Embedding,100,0.0161,0.9968,2.3137,0.6036
Embedding,110,0.0164,0.9968,2.3723,0.5862
Embedding,120,0.0119,0.9982,2.5459,0.5897
FrozenGlove + Embedding,0,0.6955,0.4894,0.6928,0.5295
FrozenGlove + Embedding,10,0.6929,0.4995,0.6937,0.4769
FrozenGlove + Embedding,20,0.6815,0.5611,0.6511,0.6464
FrozenGlove + Embedding,30,0.1491,0.9604,0.6058,0.7998
FrozenGlove + Embedding,40,0.0656,0.9864,0.7862,0.7894
